NAME,CITY,STATE
PASO ROBLES HIGH,PASO ROBLES,CA
TRUCKEE ELEMENTARY,TRUCKEE,CA
SALINAS COMMUNITY,SALINAS,CA
BLAIR HIGH,PASADENA,CA
WELLINGTON M. SMITH JR.,SALINAS,CA
HUNTINGTON BEACH HIGH,HUNTINGTON BEACH,CA
CHESTER W. MORRISON ELEMENTARY,MENIFEE,CA
SUSAN B. ANTHONY ELEMENTARY,CORONA,CA
FIREBAUGH COMMUNITY DAY,FIREBAUGH,CA
RINCON VALLEY CHARTER,SANTA ROSA,CA
TOWNE AVENUE ELEMENTARY,CARSON,CA
ANDERSON ELEMENTARY,COMPTON,CA
MIWOK VALLEY ELEMENTARY CHARTER,PETALUMA,CA
DEL REY ELEMENTARY,ORINDA,CA
HARDY ELEMENTARY,SAN DIEGO,CA
WILLIAM REGNART ELEMENTARY,CUPERTINO,CA
FOREST HILL ELEMENTARY,SAN JOSE,CA
