NAME,CITY,STATE
CHAPEL HILL H S,MOUNT PLEASANT,TX
PORT O CONNOR EL,PORT O'CONNOR,TX
ATASCOSA COUNTY JUVENILE JUSTICE CENTER,JOURDANTON,TX
ILTEXAS GARLAND EL,GARLAND,TX
HALPIN EARLY CHILDHOOD CTR,HOUSTON,TX
IDEA COLLEGE PREPARATORY PHARR,PHARR,TX
ROARK EL,ARLINGTON,TX
CANNADAY EL,MESQUITE,TX
EAST EL,BRECKENRIDGE,TX
PEASE MIDDLE,SAN ANTONIO,TX
SANCHEZ EL,AUSTIN,TX
HOLLAND H S,HOLLAND,TX
JOHNSON H S,SAN ANTONIO,TX
SABINAL H S,SABINAL,TX
LAMESA DAEP,LAMESA,TX
HARMONY SCHOOL OF SCIENCE-HOUSTON,HOUSTON,TX
JAMES MADISON H S,DALLAS,TX
JOHN IRELAND EL,DALLAS,TX
WILLIE BROWN EL,MANSFIELD,TX
BREWER H S,FORT WORTH,TX
BLATTMAN EL,SAN ANTONIO,TX
MISSION GLEN EL,HOUSTON,TX
ALEDO MIDDLE,ALEDO,TX
LAKE DALLAS H S,CORINTH,TX
PEASE EL,ODESSA,TX
THOMAS J RUSK EL,NACOGDOCHES,TX
CARPENTER EL,DEER PARK,TX
UPLIFT TRIUMPH PREPARATORY SCHOOL,DALLAS,TX
HELEN BALL EL,EL PASO,TX
CAREER EDUCATION CENTER,WICHITA FALLS,TX
FERNDELL HENRY CENTER FOR LEARNING,ROSHARON,TX
PREMONT COLLEGIATE H S,PREMONT,TX
MANOR MIDDLE,MANOR,TX
DE LA VINA ELEM,EDINBURG,TX
HARMONY SCHOOL OF INNOVATION - KATY,KATY,TX
EL DAEP,MISSOURI CITY,TX
CUNNINGHAM EL,HOUSTON,TX
T G TERRY EL,DALLAS,TX
WALNUT BEND EL,HOUSTON,TX
BAY EL,SEABROOK,TX
JUAN N SEGUIN EL,GRAND PRAIRIE,TX
MOCKINGBIRD EL,DALLAS,TX
JJAEP,RICHARDSON,TX
ROSS EL,HOUSTON,TX
NATALIA EARLY CHILD CTR,NATALIA,TX
FRUITVALE MIDDLE,FRUITVALE,TX
GILMER H S,GILMER,TX
HART ISD,HART,TX
